episode,game,exploration,explored,safe,MA_explored,MA_safe
102,['100+49sin((2pi/11)t)+0e'],35.5,52.0,96.6,15.6,91.1
103,['100+49sin((2pi/17)t)+0e'],35.2,-0.5,94.9,15.6,91.1
104,['100+49sin((2pi/37)t)+0e'],34.8,-1392.2,88.8,15.6,91.1
105,['100+49sin((2pi/36)t)+0e'],34.5,-5.5,84.8,15.6,91.1
106,['100+49sin((2pi/27)t)+0e'],34.1,50.3,96.0,17.1,91.2
107,['100+49sin((2pi/15)t)+0e'],33.8,52.5,91.9,18.4,91.6
108,['100+49sin((2pi/18)t)+0e'],33.4,-1514.6,89.3,18.4,91.6
109,['100+49sin((2pi/11)t)+0e'],33.1,62.4,92.6,18.9,92.2
110,['100+49sin((2pi/32)t)+0e'],32.8,60.9,95.4,19.5,92.5
111,['100+49sin((2pi/2)t)+0e'],32.4,-1150.7,0.0,19.5,92.5
112,['100+49sin((2pi/39)t)+0e'],32.1,60.0,88.2,20.1,92.5
113,['100+49sin((2pi/8)t)+0e'],31.8,69.0,96.6,20.5,92.5
114,['100+49sin((2pi/20)t)+0e'],31.5,42.1,96.2,20.8,92.5
115,['100+49sin((2pi/26)t)+0e'],31.2,61.8,96.1,22.7,92.6
116,['100+49sin((2pi/36)t)+0e'],30.9,37.5,86.2,25.4,92.6
117,['100+49sin((2pi/30)t)+0e'],30.5,65.5,96.1,26.2,92.6
118,['100+49sin((2pi/31)t)+0e'],30.2,61.0,95.3,26.5,92.6
119,['100+49sin((2pi/22)t)+0e'],29.9,52.2,96.5,26.9,92.7
120,['100+49sin((2pi/23)t)+0e'],29.6,-62191.9,95.1,26.9,92.9
121,['100+49sin((2pi/35)t)+0e'],29.3,60.7,71.2,27.5,92.9
122,['100+49sin((2pi/22)t)+0e'],29.0,60.9,96.5,27.9,93.1
123,['100+49sin((2pi/22)t)+0e'],28.8,61.3,96.5,28.2,93.4
124,['100+49sin((2pi/10)t)+0e'],28.5,-1388.1,96.2,28.2,93.7
125,['100+49sin((2pi/32)t)+0e'],28.2,65.8,96.4,28.8,93.8
126,['100+49sin((2pi/16)t)+0e'],27.9,5.3,92.8,28.8,93.7
127,['100+49sin((2pi/16)t)+0e'],27.6,63.4,96.6,30.0,93.7
128,['100+49sin((2pi/25)t)+0e'],27.3,60.2,95.1,31.4,93.8
129,['100+49sin((2pi/6)t)+0e'],27.1,62.6,96.1,32.0,93.8
130,['100+49sin((2pi/28)t)+0e'],26.8,-65466.7,95.4,32.0,93.8
131,['100+49sin((2pi/3)t)+0e'],26.5,63.0,96.1,32.4,94.3
132,['100+49sin((2pi/25)t)+0e'],26.3,63.9,86.2,32.7,94.3
133,['100+49sin((2pi/20)t)+0e'],26.0,57.7,96.2,32.9,94.3
134,['100+49sin((2pi/37)t)+0e'],25.7,-55641.7,80.1,32.9,94.3
135,['100+49sin((2pi/2)t)+0e'],25.5,78.9,0.0,33.6,94.3
136,['100+49sin((2pi/34)t)+0e'],25.2,64.6,92.1,34.4,94.3
137,['100+49sin((2pi/13)t)+0e'],25.0,71.3,87.5,35.3,94.3
138,['100+49sin((2pi/31)t)+0e'],24.7,70.4,95.3,36.2,94.8
139,['100+49sin((2pi/5)t)+0e'],24.5,62.8,96.5,36.9,94.9
140,['100+49sin((2pi/11)t)+0e'],24.2,73.6,96.6,37.8,94.9
141,['100+49sin((2pi/8)t)+0e'],24.0,63.8,96.6,38.3,94.9
142,['100+49sin((2pi/6)t)+0e'],23.8,80.3,96.1,39.4,95.0
143,['100+49sin((2pi/14)t)+0e'],23.5,46.3,96.2,41.0,95.1
144,['100+49sin((2pi/35)t)+0e'],23.3,57.7,93.0,41.9,95.1
145,['100+49sin((2pi/4)t)+0e'],23.1,67.2,-0.1,42.5,95.0
146,['100+49sin((2pi/13)t)+0e'],22.8,71.9,93.1,43.2,95.0
147,['100+49sin((2pi/11)t)+0e'],22.6,77.0,96.6,43.6,95.1
148,['100+49sin((2pi/3)t)+0e'],22.4,81.0,96.1,43.9,95.1
149,['100+49sin((2pi/12)t)+0e'],22.1,66.6,96.4,45.0,95.1
150,['100+49sin((2pi/31)t)+0e'],21.9,73.4,92.7,46.2,95.1
151,['100+49sin((2pi/17)t)+0e'],21.7,62.0,93.2,46.2,95.1
152,['100+49sin((2pi/26)t)+0e'],21.5,64.9,93.2,46.3,95.1
153,['100+49sin((2pi/19)t)+0e'],21.3,69.1,94.6,46.7,95.1
154,['100+49sin((2pi/26)t)+0e'],21.1,60.0,96.1,48.0,95.1
155,['100+49sin((2pi/6)t)+0e'],20.8,64.4,96.1,49.1,95.1
156,['100+49sin((2pi/13)t)+0e'],20.6,0.4,93.1,49.1,95.1
157,['100+49sin((2pi/15)t)+0e'],20.4,78.6,96.4,49.3,95.2
158,['100+49sin((2pi/2)t)+0e'],20.2,62.7,0.0,49.5,95.2
159,['100+49sin((2pi/30)t)+0e'],20.0,46.4,94.2,49.5,95.2
160,['100+49sin((2pi/23)t)+0e'],19.8,54.7,96.1,50.0,95.2
161,['100+49sin((2pi/18)t)+0e'],19.6,-36006.7,89.3,50.0,95.1
162,['100+49sin((2pi/20)t)+0e'],19.4,77.9,96.2,51.1,95.2
163,['100+49sin((2pi/2)t)+0e'],19.2,75.3,0.0,51.9,95.2
164,['100+49sin((2pi/28)t)+0e'],19.0,72.3,94.1,52.1,95.2
165,['100+49sin((2pi/11)t)+0e'],18.9,74.2,92.5,52.1,95.2
166,['100+49sin((2pi/25)t)+0e'],18.7,78.2,96.6,52.2,95.2
167,['100+49sin((2pi/4)t)+0e'],18.5,74.1,-6.7,52.4,95.2
168,['100+49sin((2pi/29)t)+0e'],18.3,-29460.0,95.2,52.4,95.2
169,['100+49sin((2pi/6)t)+0e'],18.1,74.2,96.1,53.6,95.2
170,['100+49sin((2pi/30)t)+0e'],17.9,67.1,94.2,54.7,95.2
171,['100+49sin((2pi/32)t)+0e'],17.8,78.1,94.5,55.3,95.2
172,['100+49sin((2pi/34)t)+0e'],17.6,84.0,84.5,56.8,95.1
173,['100+49sin((2pi/19)t)+0e'],17.4,65.9,95.0,57.7,95.1
174,['100+49sin((2pi/29)t)+0e'],17.2,80.1,95.2,58.3,95.1
175,['100+49sin((2pi/35)t)+0e'],17.1,-8.8,95.0,58.3,95.1
176,['100+49sin((2pi/26)t)+0e'],16.9,66.5,96.1,59.4,95.2
177,['100+49sin((2pi/7)t)+0e'],16.7,66.7,86.6,60.0,95.2
178,['100+49sin((2pi/2)t)+0e'],16.5,56.9,0.0,60.0,95.2
179,['100+49sin((2pi/28)t)+0e'],16.4,63.3,95.4,60.1,95.2
180,['100+49sin((2pi/33)t)+0e'],16.2,76.8,88.5,60.5,95.2
181,['100+49sin((2pi/26)t)+0e'],16.1,63.6,96.1,60.8,95.2
182,['100+49sin((2pi/1)t)+0e'],15.9,71.2,0.0,60.9,95.2
183,['100+49sin((2pi/3)t)+0e'],15.7,77.9,96.1,60.9,95.2
184,['100+49sin((2pi/19)t)+0e'],15.6,76.5,95.0,61.2,95.2
185,['100+49sin((2pi/8)t)+0e'],15.4,80.6,96.6,61.6,95.2
186,['100+49sin((2pi/18)t)+0e'],15.3,86.2,95.8,61.9,95.2
187,['100+49sin((2pi/30)t)+0e'],15.1,-606.2,84.6,61.9,95.2
188,['100+49sin((2pi/6)t)+0e'],15.0,81.3,96.1,62.2,95.2
189,['100+49sin((2pi/3)t)+0e'],14.8,68.9,96.1,62.5,95.2
190,['100+49sin((2pi/36)t)+0e'],14.7,87.1,93.7,62.7,95.2
191,['100+49sin((2pi/6)t)+0e'],14.5,57.3,95.9,62.7,95.2
192,['100+49sin((2pi/34)t)+0e'],14.4,-419.6,88.9,62.7,95.2
193,['100+49sin((2pi/1)t)+0e'],14.2,61.6,0.0,62.7,95.2
194,['100+49sin((2pi/13)t)+0e'],14.1,77.5,93.1,62.8,95.2
195,['100+49sin((2pi/27)t)+0e'],13.9,82.1,92.6,62.9,95.1
196,['100+49sin((2pi/15)t)+0e'],13.8,62.4,96.4,62.9,95.2
197,['100+49sin((2pi/9)t)+0e'],13.7,86.9,90.0,63.2,95.2
198,['100+49sin((2pi/3)t)+0e'],13.5,72.1,96.1,63.4,95.2
199,['100+49sin((2pi/17)t)+0e'],13.4,77.3,94.9,63.5,95.1
200,['100+49sin((2pi/38)t)+0e'],13.3,67.7,96.0,63.7,95.1
201,['100+49sin((2pi/17)t)+0e'],13.1,83.0,94.9,63.9,95.1
202,['100+49sin((2pi/37)t)+0e'],13.0,73.5,95.1,64.2,95.0
203,['100+49sin((2pi/27)t)+0e'],12.9,83.8,94.6,64.5,95.0
204,['100+49sin((2pi/34)t)+0e'],12.7,84.0,95.9,64.7,95.1
205,['100+49sin((2pi/35)t)+0e'],12.6,84.4,92.2,65.2,95.1
206,['100+49sin((2pi/23)t)+0e'],12.5,80.5,95.5,65.6,95.1
207,['100+49sin((2pi/33)t)+0e'],12.4,76.0,89.8,65.8,95.1
208,['100+49sin((2pi/13)t)+0e'],12.2,-32731.9,93.1,65.8,95.1
209,['100+49sin((2pi/24)t)+0e'],12.1,61.4,94.9,65.8,95.1
210,['100+49sin((2pi/19)t)+0e'],12.0,72.9,95.0,66.2,95.0
211,['100+49sin((2pi/10)t)+0e'],11.9,82.0,96.2,66.5,95.1
212,['100+49sin((2pi/37)t)+0e'],11.8,70.8,92.5,66.6,95.1
213,['100+49sin((2pi/34)t)+0e'],11.6,74.0,92.1,66.6,95.0
214,['100+49sin((2pi/4)t)+0e'],11.5,63.1,-0.1,66.6,95.0
215,['100+49sin((2pi/36)t)+0e'],11.4,54.1,93.7,66.6,95.0
216,['100+49sin((2pi/35)t)+0e'],11.3,81.5,93.4,66.9,95.0
217,['100+49sin((2pi/31)t)+0e'],11.2,83.2,95.8,67.2,95.0
218,['100+49sin((2pi/33)t)+0e'],11.1,78.4,90.7,67.5,95.0
219,['100+49sin((2pi/18)t)+0e'],11.0,78.0,95.8,68.3,95.0
220,['100+49sin((2pi/38)t)+0e'],10.8,84.4,90.7,69.0,95.0
221,['100+49sin((2pi/5)t)+0e'],10.7,71.1,96.5,69.7,95.0
222,['100+49sin((2pi/29)t)+0e'],10.6,85.8,96.6,70.6,95.0
223,['100+49sin((2pi/17)t)+0e'],10.5,72.8,96.6,70.9,95.0
224,['100+49sin((2pi/28)t)+0e'],10.4,76.1,95.4,71.1,95.0
225,['100+49sin((2pi/24)t)+0e'],10.3,83.4,94.9,71.3,95.0
226,['100+49sin((2pi/11)t)+0e'],10.2,88.8,92.6,71.6,95.0
227,['100+49sin((2pi/22)t)+0e'],10.1,80.7,96.5,72.0,95.0
228,['100+49sin((2pi/36)t)+0e'],10.0,82.2,91.3,72.2,94.9
229,['100+49sin((2pi/22)t)+0e'],9.9,73.9,96.5,72.6,94.9
230,['100+49sin((2pi/28)t)+0e'],9.8,90.5,95.4,72.9,94.9
231,['100+49sin((2pi/8)t)+0e'],9.7,73.9,96.6,73.2,94.9
232,['100+49sin((2pi/1)t)+0e'],9.6,87.0,0.0,73.5,94.9
233,['100+49sin((2pi/38)t)+0e'],9.5,83.4,94.4,73.5,94.9
234,['100+49sin((2pi/22)t)+0e'],9.4,81.9,96.5,73.7,94.9
235,['100+49sin((2pi/30)t)+0e'],9.3,80.6,96.1,73.7,95.0
236,['100+49sin((2pi/1)t)+0e'],9.2,86.1,0.0,73.9,95.0
237,['100+49sin((2pi/10)t)+0e'],9.1,80.3,96.2,73.9,95.0
238,['100+49sin((2pi/11)t)+0e'],9.1,0.5,92.6,73.9,95.0
239,['100+49sin((2pi/12)t)+0e'],9.0,-480.5,96.4,73.9,95.0
240,['100+49sin((2pi/25)t)+0e'],8.9,71.9,96.6,73.9,95.0
241,['100+49sin((2pi/10)t)+0e'],8.8,88.2,96.2,74.0,95.0
242,['100+49sin((2pi/19)t)+0e'],8.7,87.4,96.3,74.0,95.0
